Mean,Mean,Mean,Mean
,48.5338,33.4896,42.7377
,48.289,33.533,42.7747
,48.0926,33.7343,42.8294
,47.8989,33.5001,42.7007
,48.0901,33.2173,42.7319
,48.1106,33.0804,42.5838
,48.4342,33.46,42.551
,48.2164,33.0687,42.628
,48.6252,33.6384,42.3023
,48.102,33.2578,42.6963
,48.4638,33.117,42.5159
,48.0551,34.1032,41.8517
,48.6111,33.4834,42.0907
,48.6879,32.969,42.45
,49.0964,33.5853,42.6057
,48.4324,32.9753,42.403
,48.4867,33.5775,42.339
,48.6001,33.5171,42.0643
,48.5073,33.4602,42.2607
,48.05,32.9103,42.6551
,48.1465,32.4087,42.0983
,48.1475,33.0708,42.201
,47.8559,33.1085,42.3209
,48.1775,33.5251,42.6928
,48.0865,33.4077,43.0471
,48.1643,32.9367,42.2515
,48.051,32.9305,42.3791
,48.6798,33.1323,42.3642
,48.7031,33.2528,42.4208
,48.4164,33.4512,42.2518
,48.5552,33.2725,42.2892
,48.74,33.1743,42.0209
,48.4403,33.5407,42.3869
,48.3463,33.289,42.2874
,48.3651,32.9047,42.0127
,48.9365,33.1359,42.1587
,48.1937,33.1145,42.0466
,48.5658,33.1057,42.2349
,48.3688,33.0625,42.5477
,48.0849,33.4182,42.0968
,48.3196,33.497,42.2284
,48.0807,33.4831,42.1554
,48.1223,33.009,41.711
,47.4894,33.3951,41.7039
,48.4304,33.2461,41.9557
,48.2017,33.2558,41.6361
,47.882,33.2424,41.6233
,48.0108,33.3024,41.3312
,47.8541,32.9873,42.218
,47.9935,33.7472,42.0953
,48.0153,32.93,42.0073
,47.4632,33.9301,41.7881
,47.9846,33.6309,41.7733
,48.2442,33.1395,42.1325
,47.931,33.337,42.1587
,48.2636,32.7467,42.1501
,48.0835,32.943,41.7166
,47.924,33.4094,41.9228
,47.3422,33.732,41.9954
,48.2082,33.6338,42.2106
,48.0584,32.9969,41.7636
,47.961,33.3497,41.9543
,47.5875,33.1774,41.8104
,47.8536,33.5907,41.6312
,47.558,34.0304,41.6668
,47.9424,33.7087,41.8225
,47.852,33.0702,41.9105
,47.769,33.5908,41.8844
,47.6943,33.1829,42.0036
,47.8528,33.7331,42.2983
,47.361,33.3262,41.7409
